"ОАО ""БЕЛОН""";"ОАО ""БЕЛОН""";Кемеровская область;42;5410102823;420201001
ОАО ММК;"ОАО ""Магнитогорский Металлургический Комбинат""";Челябинская область;74;7414003633;997550001
ОАО ММК-МЕТИЗ;"ОАО ""Магнитогорский Метизно-Калибровочный Завод ""ММК-МЕТИЗ""";Челябинская область;74;7414001428;741450001
"ООО ""ММК-ИНФОРМСЕРВИС""";"ООО ""ММК-ИНФОРМСЕРВИС""";Челябинская область;74;7445047060;745501001
"ООО ""МСЦ""";"ООО ""Магнитогорский Сервисный Центр""";Челябинская область;74;7445025813;745501001
"ООО ""ЮБИЛЕЙНЫЙ""";"ООО ""Санаторий ""Юбилейный""";Республика Башкортостан;02;0201007687;020101001
"ООО ""АБЗАКОВО""";ООО АБЗАКОВО;Республика Башкортостан;02;0256014475;025601001
ООО МРК;"ООО ""МЕХАНОРЕМОНТНЫЙ КОМПЛЕКС""";Челябинская область;74;7455025700;745501001
"АО ""ПРОФИТ""";"АО ""ПРОФИТ""";Челябинская область;74;7414006842;745501001
"ООО ""АТУ""";"ООО ""АВТОТРАНСПОРТНОЕ УПРАВЛЕНИЕ""";Челябинская область;74;7414006930;745501001
"ООО ""БЕЛОН-ГЕОЛОГИЯ""";"ООО ""БЕЛОН-ГЕОЛОГИЯ""";Кемеровская область;42;4202026175;420201001
"ООО ""РЕМПУТЬ""";"ООО ""РЕМПУТЬ""";Челябинская область;74;7445024922;745501001
ООО ОБЪЕДИНЕННАЯ СЕРВИСНАЯ КОМПАНИЯ;"ООО ""ОБЪЕДИНЕННАЯ СЕРВИСНАЯ КОМПАНИЯ""";Челябинская область;74;7445033042;745501001
ООО СТРОЙКОМПЛЕКС;"ООО ""Строительный комплекс""";Челябинская область;74;7445017509;744501001
УЧРЕЖДЕНИЯ;;;;;
